               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099068,             0.10807,            0.091649,            0.013307,             0.29588,            0.018094,           0.0062864,            0.074903,             0.11961,            0.087194,            0.070073,           0.0033253,           0.0033253
                   1,            0.071775,            0.092238,            0.084211,            0.016139,             0.51691,            0.027661,           0.0084362,            0.060598,             0.10636,            0.081307,            0.039943,           0.0065293,           0.0065293
                   2,            0.069181,            0.087102,            0.081195,             0.43569,             0.20789,            0.032897,            0.011948,            0.059802,              0.1012,            0.080008,           0.0096847,            0.009604,            0.009604
                   3,            0.063692,             0.08119,             0.07978,             0.20848,             0.30145,            0.031309,            0.015078,            0.056133,            0.095734,            0.078812,           0.0094176,           0.0094176,           0.0094176
                   4,            0.057509,            0.082927,             0.07938,              0.5061,             0.29992,            0.073828,            0.035197,            0.046406,            0.094581,            0.078272,           0.0094176,           0.0094176,           0.0094176
                   5,            0.051191,            0.077254,            0.078693,             0.55007,             0.25929,            0.085213,             0.04773,            0.042286,            0.093442,            0.077582,           0.0092235,           0.0092235,           0.0092235
                   6,            0.047667,            0.076443,            0.078175,             0.70855,             0.13866,             0.10026,            0.056074,            0.041086,            0.090441,            0.076651,           0.0090294,           0.0090294,           0.0090294
                   7,            0.046937,            0.074392,            0.077304,             0.74897,             0.14011,             0.10853,            0.062278,            0.038733,            0.087978,            0.075777,           0.0088353,           0.0088353,           0.0088353
                   8,            0.044553,            0.071459,            0.076423,             0.79344,             0.14172,              0.1372,            0.076391,            0.039215,            0.088887,            0.074774,           0.0086412,           0.0086412,           0.0086412
                   9,             0.04372,            0.071311,            0.075389,              0.8006,             0.15683,             0.14831,            0.095007,            0.038532,             0.08747,            0.073948,           0.0084471,           0.0084471,           0.0084471
                  10,            0.042556,            0.072564,            0.075024,             0.78384,             0.16857,             0.16432,             0.11016,            0.034345,             0.08629,            0.073149,           0.0082529,           0.0082529,           0.0082529
                  11,            0.040622,            0.070738,            0.074331,             0.79758,             0.17213,             0.17423,              0.1122,            0.034525,            0.086385,              0.0723,           0.0080588,           0.0080588,           0.0080588
                  12,            0.040599,            0.071022,            0.073728,             0.80342,             0.18293,             0.18563,             0.11589,            0.036602,             0.08519,            0.071532,           0.0078647,           0.0078647,           0.0078647
                  13,            0.040149,            0.071149,            0.072264,             0.80697,               0.185,             0.19582,             0.11999,            0.036262,            0.085729,            0.070377,           0.0076706,           0.0076706,           0.0076706
                  14,            0.040099,            0.070059,            0.071761,             0.77778,             0.19708,             0.19845,             0.13121,            0.034132,            0.084861,            0.069099,           0.0074765,           0.0074765,           0.0074765
                  15,            0.039003,            0.068449,            0.070467,             0.77549,               0.222,             0.20442,             0.12428,            0.035691,            0.084763,            0.067708,           0.0072824,           0.0072824,           0.0072824
                  16,            0.038084,            0.067718,            0.068993,             0.77521,             0.22977,             0.21641,             0.15251,            0.032399,              0.0833,            0.066182,           0.0070882,           0.0070882,           0.0070882
                  17,            0.037916,            0.068667,            0.067943,             0.78659,              0.2326,             0.21827,             0.14191,            0.034914,            0.084559,            0.064918,           0.0068941,           0.0068941,           0.0068941
                  18,            0.037654,            0.068326,            0.066746,             0.79091,             0.23824,             0.23598,             0.15996,             0.03324,            0.083184,            0.063523,              0.0067,              0.0067,              0.0067
                  19,             0.03766,            0.067544,            0.065019,             0.79267,             0.23853,             0.24212,             0.16231,            0.033819,            0.083185,            0.062191,           0.0065059,           0.0065059,           0.0065059
                  20,            0.037576,            0.068352,            0.063847,             0.82179,             0.21857,             0.24813,             0.16092,            0.033708,            0.083903,            0.060928,           0.0063118,           0.0063118,           0.0063118
                  21,            0.037707,             0.06642,            0.062722,             0.82173,             0.22923,             0.26148,             0.17871,            0.033989,            0.083964,            0.059723,           0.0061176,           0.0061176,           0.0061176
                  22,            0.037789,            0.068341,            0.061745,             0.82328,              0.2182,             0.26776,             0.18516,            0.032818,            0.083572,            0.058614,           0.0059235,           0.0059235,           0.0059235
                  23,            0.036811,            0.065558,            0.060976,             0.78495,              0.2515,             0.27491,             0.18801,            0.033703,            0.083607,             0.05746,           0.0057294,           0.0057294,           0.0057294
                  24,            0.036524,            0.066571,            0.059991,              0.7934,             0.25349,             0.28614,              0.2006,             0.03257,            0.082807,            0.056579,           0.0055353,           0.0055353,           0.0055353
                  25,            0.035754,            0.067004,            0.058825,             0.79002,             0.24662,              0.2934,             0.20389,             0.03335,            0.081889,            0.055323,           0.0053412,           0.0053412,           0.0053412
                  26,             0.03583,            0.066895,            0.057999,              0.8069,             0.25249,             0.30581,             0.21328,            0.032262,            0.081826,            0.054275,           0.0051471,           0.0051471,           0.0051471
                  27,            0.035615,            0.067024,            0.057037,             0.82796,             0.25847,             0.30777,             0.21546,            0.032909,            0.082205,             0.05332,           0.0049529,           0.0049529,           0.0049529
                  28,            0.035103,            0.065881,            0.055675,             0.82471,             0.25732,             0.31996,              0.2281,            0.031469,            0.081557,            0.052557,           0.0047588,           0.0047588,           0.0047588
                  29,            0.034965,            0.065365,             0.05565,             0.84065,             0.24413,             0.32243,              0.2325,            0.031094,            0.080925,            0.051609,           0.0045647,           0.0045647,           0.0045647
                  30,            0.034893,            0.064307,            0.054366,             0.79115,             0.28224,             0.33322,              0.2407,             0.03075,            0.080534,            0.050653,           0.0043706,           0.0043706,           0.0043706
                  31,            0.034838,            0.066266,            0.054153,             0.81548,             0.27138,             0.33798,             0.24663,            0.030735,            0.080268,            0.049928,           0.0041765,           0.0041765,           0.0041765
                  32,            0.034181,            0.065172,            0.053553,             0.75442,             0.31789,             0.33409,             0.24122,            0.030656,            0.079542,            0.049355,           0.0039824,           0.0039824,           0.0039824
                  33,            0.034499,             0.06554,            0.052855,             0.80185,             0.29767,             0.34953,             0.25484,            0.030243,             0.07969,            0.048408,           0.0037882,           0.0037882,           0.0037882
                  34,            0.034458,             0.06664,            0.051793,             0.78591,             0.31975,             0.35567,             0.26003,            0.030515,            0.079748,            0.048164,           0.0035941,           0.0035941,           0.0035941
                  35,            0.033707,            0.063423,            0.051495,             0.74998,             0.33802,             0.35637,             0.25405,            0.031017,             0.08005,            0.047354,              0.0034,              0.0034,              0.0034
                  36,            0.034094,            0.066549,            0.051322,             0.74585,             0.33976,             0.35902,             0.25955,            0.030382,            0.079756,            0.046915,           0.0032059,           0.0032059,           0.0032059
                  37,             0.03323,             0.06484,             0.05037,             0.73508,             0.34577,             0.36417,             0.26667,            0.029987,             0.07933,            0.046203,           0.0030118,           0.0030118,           0.0030118
                  38,            0.033375,             0.06334,            0.050423,             0.75901,              0.3468,             0.37157,             0.26917,            0.030275,            0.079958,            0.045928,           0.0028176,           0.0028176,           0.0028176
                  39,            0.032622,            0.063934,            0.048852,             0.75104,             0.34968,             0.37409,             0.27355,            0.030238,            0.079369,            0.045327,           0.0026235,           0.0026235,           0.0026235
                  40,            0.033218,            0.064221,            0.049314,              0.7531,             0.33762,             0.37833,             0.27621,            0.029741,            0.079241,            0.044892,           0.0024294,           0.0024294,           0.0024294
                  41,            0.032684,            0.064873,            0.048814,             0.76496,             0.34375,              0.3813,             0.28001,            0.029499,            0.079258,            0.044286,           0.0022353,           0.0022353,           0.0022353
                  42,             0.03212,            0.063399,            0.048315,             0.76427,             0.33901,             0.37943,             0.27857,            0.029668,            0.079604,            0.044083,           0.0020412,           0.0020412,           0.0020412
                  43,            0.031938,            0.062482,            0.047289,             0.75174,             0.35983,             0.38425,             0.28387,            0.029247,            0.078871,            0.043381,           0.0018471,           0.0018471,           0.0018471
                  44,             0.03144,            0.062212,            0.047493,             0.76515,             0.36178,             0.38745,             0.28032,            0.029642,            0.079394,            0.043088,           0.0016529,           0.0016529,           0.0016529
                  45,             0.03133,            0.061688,            0.046626,             0.77634,             0.34086,             0.38987,             0.28822,            0.029358,            0.079696,            0.042692,           0.0014588,           0.0014588,           0.0014588
                  46,            0.030882,            0.062588,            0.046309,             0.77288,             0.34797,             0.39483,              0.2942,            0.029006,            0.078572,            0.042285,           0.0012647,           0.0012647,           0.0012647
                  47,            0.031269,            0.062171,            0.046565,             0.77879,             0.35824,             0.39785,             0.29723,            0.029073,            0.078741,            0.042086,           0.0010706,           0.0010706,           0.0010706
                  48,            0.031157,            0.062721,            0.045963,             0.77962,             0.35484,             0.40258,             0.30241,            0.029029,            0.078698,              0.0418,          0.00087647,          0.00087647,          0.00087647
                  49,            0.031225,              0.0626,            0.046173,             0.78528,             0.35877,             0.40753,             0.30686,             0.02888,            0.078173,            0.041354,          0.00068235,          0.00068235,          0.00068235
                  50,            0.031069,            0.062781,            0.046039,             0.78806,             0.35689,             0.40522,             0.30486,            0.028844,            0.078021,            0.041226,          0.00048824,          0.00048824,          0.00048824
